ID,cage_number,monkey_number,sex,species,age,weight,height,bmi,pregnant,lactation,diarrhea,CT_value,parasite_load,sub_type,identity,batch,info,class
SX1,G165-SX,11,male,mfas,10,3.9,0.5,15.6,No,No,No,16.55237579,10870.92723,ST1,0.9981,1,non,positive
SX2,G35-SX,161037,male,mfas,5,6,0.43,32.45,No,No,No,14.86605263,30287.15124,ST3,0.9964,1,non,positive
SX3,G27-SX,1104621,male,mfas,10,7.5,0.5,30,No,No,No,14.02490044,50492.17758,ST1,0.9701,1,non,positive
SX4,G6-SX,1412065,male,mfas,7,5.7,0.43,30.827,No,No,No,15.88391781,15440.06048,ST3,0.9893,1,non,positive
SX5,G159-SX,NA,male,mfas,7,6.4,0.43,34.613,No,No,No,16.4919281,11277.62633,ST1,1,1,non,positive
SX6,G170-SX,11,male,mfas,10,3.9,0.5,15.6,No,No,No,20.28414726,2039.241319,ST3,0.9945,1,non,positive
SX7,G1-SX,1301209,male,mfas,8,7,0.5,28,No,No,No,17.87265396,8106.552551,ST1,0.9796,1,non,positive
SX8,G36-SX,14,male,mfas,7,5.3,0.43,28.664,No,No,No,15.14064217,16429.62651,ST3,0.9945,1,non,positive
SX9,G2-133,Y0604089,male,mfas,16,7.8,0.5,31.2,No,No,No,21.26687241,669.6599857,ST1,0.9981,2,non,positive
SX10,G2-118,1212219,male,mfas,10,8.8,0.5,35.2,No,No,No,17.89193344,8091.687695,ST1,0.9982,2,non,positive
SX11,G1-58,NA,female,mfas,0.5,1.2,0.22,24.793,No,No,No,19.58107662,NA,ST1,0.9981,2,unsequencing,positive
SX12,G3-14,14300,female,mfas,8,4.3,0.46,20.321,No,Yes,No,21.12617493,2198.060268,ST1,0.9981,2,non,positive
SX13,G3-4,13342,female,mfas,9,4.3,0.46,20.321,No,No,No,23.03080368,768.921544,ST1,1,2,non,positive
SX14,G3-10,1300304,female,mfas,12,4.2,0.46,19.849,No,Yes,No,28.5446701,14.95687226,ST3,0.9966,2,non,positive
SX15,G42-SX,NA,male,mfas,10,6.8,0.5,27.2,No,No,No,29.07094765,11.36191298,ST1,0.9764,1,non,positive
SX16,G2-152,161037,male,mfas,11,8,0.5,32,No,No,No,25.13474464,124.6725681,ST1,0.9857,2,non,positive
SX17,G3-5,8314,female,mfas,14,5.9,0.46,27.883,No,Yes,No,25.99756622,56.5805421,ST3,0.9798,2,non,positive
SX18,G3-21,6300,female,mfas,16,4.8,0.46,22.684,No,No,No,21.57609558,968.7290216,ST3,0.9865,2,non,positive
SX19,1.1.8,1103639,male,mfas,11,3.3,0.5,13.2,No,No,No,24.71854973,158.4563281,ST3,0.9899,2,non,positive
SX20,G3-16sx,4300,female,mfas,18,5.2,0.46,24.575,No,Yes,No,26.17709541,135.627215,ST3,0.9899,2,non,positive
SX21,G3-8,130158,female,mfas,9,4.9,0.46,23.157,No,Yes,No,25.21124077,86.009011,ST3,0.9556,2,non,positive
SX22,J1-51,18349,male,mfas,3,2.6,0.33,23.875,No,No,No,23.85853958,487.124221,ST3,0.9982,1,non,positive
SX23,J2-33,15300,female,mfas,6,3.15,0.4,19.687,No,No,No,18.25782013,3224.605041,ST1,0.9721,1,non,positive
SX24,J1-14,170065,male,mfas,4,4.7,0.43,25.419,No,No,No,19.99542236,1301.040094,ST3,0.9564,1,non,positive
SX25,J2-1-2,17337,male,mfas,4,2.2,0.43,11.898,No,No,No,17.87339401,3941.721883,ST3,0.9964,1,non,positive
SX26,J2-45-1,18412,female,mfas,3,2.4,0.3,26.667,No,No,No,22.93566132,810.3424212,ST3,0.928,1,non,positive
SX27,J2-49,18374,female,mfas,3,2.4,0.3,26.667,No,No,No,19.52949905,2030.639126,ST3,0.9945,1,non,positive
SX28,J1-25,180115,male,mfas,3,3.8,0.33,34.894,No,No,No,15.96660233,37822.86924,ST3,0.9909,1,non,positive
SX29,J2-27-1,17324,female,mfas,4,2.9,0.4,18.125,No,No,No,16.9617939,6345.825424,ST3,0.9964,1,non,positive
SX30,J2-41-1,18356,female,mfas,3,2.6,0.3,28.889,No,No,No,24.27108955,145.1267151,ST3,0.9964,1,non,positive
SX31,J2-4-1,18321,male,mfas,3,2.3,0.33,21.12,No,No,No,16.58015823,7745.768965,ST3,0.9928,1,non,positive
SX32,J2-31-1,15306,female,mfas,6,3,0.4,18.75,No,No,No,27.48536301,65.92003905,ST3,0.9564,1,non,positive
SX33,J1-12,160037,male,mfas,5,4.9,0.43,26.501,No,No,No,21.28467751,663.4606226,ST3,0.9964,1,non,positive
SX34,J1-60-2,16329,male,mfas,5,3.5,0.43,18.929,No,No,No,21.04368973,752.4622634,ST3,0.9647,1,non,positive
SX35,J1-20,1701067,male,mfas,4,5.6,0.43,30.287,No,No,No,22.9912796,785.865141,ST3,0.9945,1,non,positive
SX36,J1-47-1,18387,male,mfas,3,3.1,0.33,28.466,No,No,No,15.66210461,12512.11423,ST3,0.9946,1,non,positive
SX37,J1-41,170115,male,mfas,4,7.2,0.43,38.94,No,No,No,27.62124062,24.22849811,ST3,0.9907,1,non,positive
SX38,J1-4,1701045,male,mfas,4,4.1,0.43,22.174,No,No,No,17.23366737,18805.85446,ST3,0.9964,1,non,positive
SX39,J1-53-1,16313,male,mfas,5,4.1,0.43,22.174,No,No,No,23.60482407,197.4583523,ST3,0.9982,1,non,positive
SX40,G31-SX,NA,female,mfas,4,3.2,0.4,20,No,Yes,No,15.78113842,41896.04018,ST3,0.9945,1,non,positive
SX41,G95-SX,16,female,mfas,5,3.6,0.4,22.5,No,Yes,No,18.07990265,11792.88804,ST3,0.9928,1,non,positive
SX42,G136-SX,16,female,mfas,5,3.2,0.4,20,No,Yes,No,19.56786346,3081.019052,ST3,0.9928,1,non,positive
SX43,G144-SX,17,male,mfas,4,3.4,0.43,18.388,No,No,No,14.43591881,23740.97536,ST3,0.991,1,non,positive
SX44,G68-SX,16,male,mfas,5,5.8,0.43,31.368,No,No,No,17.11727524,20052.51846,ST1,0.9758,1,non,positive
SX45,G84-SX,12,male,mfas,9,8,0.5,32,No,No,No,24.5765686,122.4399648,ST3,0.9926,1,non,positive
SX46,G103-SX,12,female,mfas,9,6,0.46,28.355,No,Yes,No,24.58026123,122.1886342,ST1,0.9829,1,non,positive
SX47,G145-SX,17,male,mfas,4,2.2,0.43,11.898,No,No,No,15.37808132,14513.19883,ST1,0.9554,1,non,positive
SX48,G5-SX,605023,male,mfas,15,6,0.5,24,No,No,No,20.42357254,1881.837716,ST3,0.9945,1,non,positive
SX49,G48-SX,NA,female,mfas,9,8.3,0.46,39.225,No,Yes,No,14.97834206,17883.25123,ST1,0.9866,1,non,positive
SX50,G74-SX,18,female,mfas,3,2.8,0.3,31.111,No,Yes,No,13.37010574,158348.5214,ST3,0.9945,1,non,positive
SX51,G87-SX,16,female,mfas,5,3.8,0.4,23.75,No,Yes,No,21.30666733,655.8833773,ST3,0.9927,1,non,positive
SX52,G94-SX,14,female,mfas,7,5.7,0.4,35.625,No,Yes,No,14.35206795,24803.93846,ST3,0.9945,1,non,positive
SX53,G100-SX,14,female,mfas,7,5.5,0.4,34.375,No,Yes,No,21.90727234,1428.785993,ST3,0.9964,1,non,positive
SX54,G50-SX,NA,female,mfas,5,3.4,0.4,21.25,No,Yes,No,12.45820427,103879.6557,ST1,1,1,non,positive
SX55,G85-SX,11,female,mfas,10,3.6,0.46,17.013,No,Yes,No,16.87687302,6633.656044,ST3,0.9945,1,non,positive
SX56,G97-SX,15,female,mfas,6,5.4,0.4,33.75,No,Yes,No,15.1871767,24918.34965,ST3,0.9946,1,non,positive
SX57,G149-SX,18,male,mfas,3,1.8,0.33,16.529,No,No,No,17.15966797,19589.16339,ST3,0.9945,1,non,positive
SX58,G3-SX,1511005,male,mfas,6,7.3,0.43,39.481,No,No,No,16.28409195,9041.261128,ST3,0.9963,1,non,positive
SX59,G92-SX,13,female,mfas,8,6.4,0.46,30.246,No,Yes,No,10.99764156,143051.7199,ST3,0.9945,1,non,positive
SX60,G12-SX,604089,male,mfas,15,7.2,0.5,28.8,No,No,No,21.78005981,453.7014835,ST3,0.955,1,non,positive
SX61,G45-SX,NA,female,mfas,5,4.1,0.4,25.625,No,Yes,No,19.02871323,2414.368187,ST3,0.9945,1,non,positive
SX62,G13-SX,704087,male,mfas,14,4.1,0.5,16.4,No,No,No,16.1533432,9680.330335,ST3,0.96,1,non,positive
SX63,G167-SX,NA,male,mfas,6,5.7,0.43,30.827,No,No,No,15.81436539,17022.1695,ST3,1,1,non,positive
SX64,G93-SX,NA,male,mfas,6,6.4,0.43,34.613,No,No,No,16.23401642,9280.87573,ST3,0.9964,1,non,positive
SX65,G106-SX,11,female,mfas,10,7,0.46,33.081,No,Yes,No,20.60999298,923.6997407,ST1,0.9926,1,non,positive
SX66,G34-SX,130001,male,mfas,8,6.3,0.5,25.2,No,No,No,14.30217648,42663.42301,ST1,0.9964,1,non,positive
SX67,J1-69-1,18379,male,mfas,3,2.3,0.33,21.12,No,No,No,17.99527359,12356.30984,ST3,0.9928,1,non,positive
SX68,G2-141,160163,male,mfas,17,9,0.5,36,No,No,No,16.1515274,9689.5164,ST3,0.9927,2,non,positive
SX69,G2-144,1412073,male,mfas,7,7.3,0.43,39.481,No,No,No,17.12578964,5824.84896,ST1,0.9965,2,non,positive
SX70,1.1.4,20576,female,mfas,2,2.4,0.3,26.667,No,No,No,21.19392014,695.6712001,ST3,0.9912,2,non,positive
SX71,1.1.5,1411093,male,mfas,6,2.6,0.43,14.062,No,No,No,25.89367676,158.571619,ST3,0.9839,2,non,positive
SX72,G1-5,NA,female,mfas,0.6,1,0.22,20.661,No,No,No,NA,NA,ST1,0.9963,2,unsequencing,positive
SX73,G2-129,1103639,male,mfas,8,9.6,0.5,38.4,No,No,No,24.9548378,97.54758388,ST1,0.9796,2,non,positive
SX74,G3-6,13306,female,mfas,9,4,0.46,18.904,No,Yes,No,22.99194336,271.9639247,ST3,0.9964,2,non,positive
SX75,G4-18,1206269,male,mfas,10,7.2,0.5,28.8,No,No,No,21.25964355,775.3791624,ST1,0.9964,2,non,positive
SX76,G3-19,14308,female,mfas,8,6.1,0.46,28.828,No,No,No,26.37852478,121.3681182,ST3,0.9838,2,non,positive
SX77,G1-3,NA,female,mfas,0.6,0.9,0.22,18.595,No,No,No,23.5734539,306.5003935,ST1,0.9929,2,non,positive
SX78,G2-126,253,male,mfas,12,7,0.5,28,No,No,No,21.99096298,1364.342223,ST3,0.9929,2,non,positive
SX79,G2-135,704035,male,mfas,15,7.6,0.5,30.4,No,No,No,24.89361763,275.2574523,ST1,0.9926,2,non,positive
SX80,G2-138,503003,male,mfas,17,8.1,0.5,32.4,No,No,No,17.76069832,5216.88116,ST1,0.9944,2,non,positive
SX81,G2-153,402001,male,mfas,15,6.9,0.5,27.6,No,No,No,20.73213005,885.4498536,ST1,1,2,non,positive
SX82,1.1.9,1204096,female,mfas,7,3.4,0.4,21.25,No,No,No,23.77636719,134.8897134,ST1,0.9714,2,non,positive
SX83,G99-SX,13,female,mfas,8,6,0.46,28.355,No,Yes,No,27.65255356,23.8354282,ST1,0.9946,1,non,positive
SX84,G4-17,610269,male,mfas,10,10.1,0.5,40.4,No,No,No,11.55341148,226677.1579,ST1,0.9982,2,non,positive
SX85,G1-64,1411073,male,mfas,8,3.3,0.4,20.625,No,No,No,22.6694603,264.2850677,ST3,0.9894,3,non,positive
SX86,G1-100,1411081,male,mfas,8,6.4,0.48,27.778,No,No,No,17.47086525,4864.095867,ST1,1,3,non,positive
SX87,G1-99,30131,male,mfas,12,4.3,0.46,20.321,No,No,No,19.86886978,1449.107341,ST1,1,3,non,positive
SX88,G1-97,2067,male,mfas,16,6,0.46,28.355,No,No,No,27.73694992,21.09423121,ST3,0.9899,3,non,positive
SX89,G1-94,905861,male,mfas,13,5.8,0.48,25.174,No,No,No,15.2199688,24426.76777,ST1,0.9984,3,non,positive
SX90,G1-93,1411059,male,mfas,8,6.8,0.48,29.514,No,No,No,19.37793732,1796.267427,ST1,0.9963,3,non,positive
SX91,G1-91,1701037,male,mfas,5,4.9,0.47,22.182,No,No,No,17.45624161,6276.996141,ST1,0.9802,3,non,positive
SX92,G1-119,1212219,male,mfas,10,8.8,0.52,32.544,No,No,No,18.39444733,3549.567352,ST1,1,3,non,positive
SX93,G1-122,161023,male,mfas,11,7,0.5,28,No,No,No,16.33952332,12371.85202,ST1,0.9982,3,non,positive
SX94,G1-131,1410031,male,mfas,13,6.7,0.49,27.905,No,No,No,21.45355988,553.258313,ST1,0.9819,3,non,positive
SX95,G1-132,702075,male,mfas,15,9.2,0.52,34.024,No,No,No,20.42704773,1032.302417,ST3,0.9911,3,non,positive
SX96,G3-16,1212223,male,mfas,10,8.6,0.52,31.805,No,No,No,20.21286774,2124.730781,ST1,0.9964,3,non,positive
SX97,J1-59,22389,male,mfas,0.6,1.6,0.3,17.778,No,No,No,17.45199966,6293.19571,ST1,0.9946,3,non,positive
SX98,J1-60,22400,female,mfas,0.6,1.2,0.3,13.333,No,No,No,17.26931381,7032.000765,ST1,0.9893,3,non,positive
SX99,J1-61,22387,male,mfas,0.6,1.4,0.3,15.556,No,No,No,19.44693375,1872.588098,ST1,0.9964,3,non,positive
SX100,J1-62,22396,female,mfas,0.6,1.4,0.3,15.556,No,No,No,15.93575096,15811.8736,ST1,0.9962,3,non,positive
SX101,J1-3,22378,female,mfas,0.6,1.3,0.3,14.444,No,No,No,20.37536812,1065.232258,ST1,0.9964,3,non,positive
SX102,J1-5,22369,male,mfas,0.6,1.5,0.3,16.667,No,No,No,20.41090012,1042.480699,ST1,0.9947,3,non,positive
SX103,J1-34,1701099,male,mfas,4,3.2,0.43,17.307,No,No,No,17.68804932,5452.32547,ST1,0.9473,1,non,positive
SX104,G3-17,8304,female,mfas,14,6,0.46,28.355,No,Yes,No,23.66117096,203.7719912,ST1,0.9874,2,non,positive
SX105,escherichia coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non,mock
MH133,J3-11,190012,female,mmul,2,2.9,0.35,23.67346939,NO,NO,NO,NA,NA,control,NA,1,non,control
SX134,G2-145,1701075,male,mfas,11,7.5,0.5,30,NO,NO,NO,NA,NA,control,NA,2,non,control
SX135,G49-SX,NA,female,mfas,7,5.4,0.43,29.20497566,Yes,NO,NO,NA,NA,control,NA,1,non,control
SX136,G1-54,NA,female,mfas,0.6,1,0.3,11.11111111,NO,NO,NO,NA,NA,control,NA,2,non,control
SX137,G1-135,704035,male,mfas,15,7.6,0.5,30.4,NO,NO,NO,NA,NA,control,NA,3,non,control
SX138,G1-71,1701021,male,mfas,5,6,0.47,27.16161159,NO,NO,NO,NA,NA,control,NA,3,non,control
SX139,G1-70,170074,female,mfas,5,3,0.42,17.00680272,NO,NO,NO,NA,NA,control,NA,3,non,control
SX140,1.1.10,1209060,female,mfas,10,3,0.45,14.81481481,NO,NO,NO,NA,NA,control,NA,3,non,control
SX141,G1-141,160163,male,mfas,9,17,0.51,65.35947712,no,no,no,NA,NA,control,NA,3,non,control
SX142,G1-118,7163,male,mfas,10,6,0.5,24,NO,NO,NO,NA,NA,NA,NA,3,unclassified,positive
SX143,H2O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non,mock
MH106,G3-7,13,male,mmul,8,10,0.5,40,No,No,No,20.07845688,2295.80858,ST3,0.9927,1,non,positive
MH107,J2-56,190023,male,mmul,2,3.2,0.33,29.385,No,No,No,17.86182213,8233.290682,ST3,0.9747,1,non,positive
MH108,J2-59,190009,male,mmul,2,3.3,0.33,30.303,No,No,No,22.71644783,344.7091256,ST3,0.9791,1,non,positive
MH109,G160-MH,*,male,mmul,6,6.1,0.43,32.991,No,No,No,18.14175224,7006.972581,ST1,0.9981,1,non,positive
MH110,G130-MH,9,male,mmul,12,7.8,0.5,31.2,No,No,No,14.97267723,25636.90919,ST3,0.9964,1,non,positive
MH111,J3-8,200007,male,mmul,1,2.5,0.27,34.294,No,No,No,23.14650345,271.3454734,ST3,0.9946,1,non,positive
MH112,G4-21,1907031,male,mmul,15,10.6,0.5,42.4,No,No,No,16.177742,13111.16915,ST3,0.9819,2,non,positive
MH113,G4-19,1407015,male,mmul,15,9.6,0.5,38.4,No,No,No,20.19597054,1401.421145,ST1,0.9963,2,non,positive
MH114,G114-MH,16,male,mmul,5,6.8,0.43,36.777,No,No,No,30.60874748,4.267223045,ST3,0.9964,1,non,positive
MH115,G115-MH,5,male,mmul,16,5.6,0.5,22.4,No,No,No,18.71930313,3187.353784,ST3,0.9982,1,non,positive
MH116,G152-MH,13,female,mmul,8,2.3,0.46,10.87,No,No,No,27.03496933,31.17519377,ST3,0.9898,1,non,positive
MH117,J3-13,180504,female,mmul,3,3.5,0.3,38.889,No,No,No,25.23257065,84.99418784,ST3,0.9932,1,non,positive
MH118,J3-6,180338,female,mmul,3,2.7,0.3,30,No,No,No,31.26238251,2.966083727,ST3,0.9982,1,non,positive
MH119,G119-MH,10,male,mmul,11,9.8,0.5,39.2,No,No,No,18.84558868,2971.058722,ST3,0.9928,1,non,positive
MH120,G3-13,11,male,mmul,10,10.8,0.5,43.2,No,No,No,20.61391068,1686.384091,ST3,92.39,1,non,positive
MH121,G121-MH,16,male,mmul,5,7.1,0.43,38.399,No,No,No,15.70005226,17103.42984,ST1,0.9893,1,non,positive
MH122,J3-14,190004,female,mmul,2,4.3,0.3,47.778,No,No,No,24.14291382,155.8558813,ST1,0.912,1,non,positive
MH123,J3-7,190078,female,mmul,2,2.5,0.3,27.77777778,No,No,No,28.780756,11.80076994,ST3,0.9838,1,non,positive
MH124,J3-3,190093,female,mmul,2,2.9,0.3,32.22222222,No,No,No,24.90294647,102.1053444,ST1,0.9291,1,non,positive
MH125,J3-21,458,female,mmul,4,3.5,0.35,28.57142857,No,No,No,15.83833694,15836.68879,ST3,0.9926,1,non,positive
MH126,G126-MH,14,male,mmul,7,5.8,0.43,31.36830719,No,No,No,17.02545547,8180.449168,ST3,0.9944,1,non,positive
MH127,G127-MH,*,female,mmul,4,2.3,0.4,14.375,No,Yes,No,18.16566467,4337.368792,ST1,0.9981,1,non,positive
MH128,G128-MH,9,male,mmul,12,11.9,0.5,47.6,No,No,No,15.71865273,16927.31571,ST1,0.926,1,non,positive
MH129,G129-MH,11,male,mmul,10,6,0.5,24,No,No,No,15.43800068,33269.99054,ST1,0.9982,1,non,positive
MH130,G157-MH,8,female,mmul,13,5.6,0.56,17.85714286,Yes,No,No,22.34344482,622.5857138,ST1,0.9964,1,non,positive
MH131,G148-MH,15,male,mmul,6,6.1,0.4,38.125,No,No,No,16.87237358,8907.831106,ST3,0.883,1,non,positive
MH132,G166-MH,10,male,mmul,11,11.4,0.5,45.6,No,No,No,18.36129761,3889.988786,ST3,0.9395,1,non,positive
